Environment activated: /hpchome/giorgio24/Log-Anomaly-Detection-via-LLMs/conda_venv
Starting fine tuning BERT model..
Loaded data..
Prepared datasets..
Tokenized data..
Loaded BERT..
12.1
<function is_available at 0x7f295c9b87c0>
Using device: cuda
Starting training BERT..
{'loss': 0.3342, 'grad_norm': 1.814407467842102, 'learning_rate': 9.999652210204154e-06, 'epoch': 0.0}
{'loss': 0.0715, 'grad_norm': 0.20656579732894897, 'learning_rate': 9.994435363266442e-06, 'epoch': 0.01}
{'loss': 0.0949, 'grad_norm': 0.521929919719696, 'learning_rate': 9.994087573470595e-06, 'epoch': 0.01}
{'loss': 0.0989, 'grad_norm': 3.3239026069641113, 'learning_rate': 9.993739783674748e-06, 'epoch': 0.01}
{'loss': 0.0989, 'grad_norm': 0.19755688309669495, 'learning_rate': 9.9933919938789e-06, 'epoch': 0.01}
{'loss': 0.093, 'grad_norm': 0.5717189311981201, 'learning_rate': 9.993044204083054e-06, 'epoch': 0.01}
{'loss': 0.0389, 'grad_norm': 0.16076840460300446, 'learning_rate': 9.992696414287205e-06, 'epoch': 0.01}
{'loss': 0.0732, 'grad_norm': 0.17023654282093048, 'learning_rate': 9.992348624491358e-06, 'epoch': 0.01}
{'loss': 0.0393, 'grad_norm': 0.21042020618915558, 'learning_rate': 9.992000834695511e-06, 'epoch': 0.01}
{'loss': 0.2317, 'grad_norm': 1.6374577283859253, 'learning_rate': 9.991653044899662e-06, 'epoch': 0.01}
{'loss': 0.0697, 'grad_norm': 2.0470964908599854, 'learning_rate': 9.991305255103815e-06, 'epoch': 0.01}
{'loss': 0.0358, 'grad_norm': 0.3760658800601959, 'learning_rate': 9.990957465307968e-06, 'epoch': 0.01}
{'loss': 0.1082, 'grad_norm': 3.6935856342315674, 'learning_rate': 9.990609675512121e-06, 'epoch': 0.01}
{'loss': 0.0364, 'grad_norm': 0.15794838964939117, 'learning_rate': 9.990261885716274e-06, 'epoch': 0.01}
{'loss': 0.2097, 'grad_norm': 2.7088420391082764, 'learning_rate': 9.989914095920427e-06, 'epoch': 0.01}
{'loss': 0.1378, 'grad_norm': 0.5459169149398804, 'learning_rate': 9.98956630612458e-06, 'epoch': 0.01}
{'loss': 0.0709, 'grad_norm': 2.9999840259552, 'learning_rate': 9.989218516328732e-06, 'epoch': 0.01}
{'loss': 0.0737, 'grad_norm': 0.32825812697410583, 'learning_rate': 9.988870726532885e-06, 'epoch': 0.01}
{'loss': 0.1312, 'grad_norm': 3.0250627994537354, 'learning_rate': 9.988522936737038e-06, 'epoch': 0.01}
{'loss': 0.1088, 'grad_norm': 2.822512626647949, 'learning_rate': 9.988175146941189e-06, 'epoch': 0.01}
{'loss': 0.1208, 'grad_norm': 0.6249781847000122, 'learning_rate': 9.987827357145342e-06, 'epoch': 0.01}
{'loss': 0.0637, 'grad_norm': 2.914400815963745, 'learning_rate': 9.987479567349495e-06, 'epoch': 0.01}
{'loss': 0.1172, 'grad_norm': 0.5427066683769226, 'learning_rate': 9.987131777553646e-06, 'epoch': 0.01}
{'loss': 0.0172, 'grad_norm': 0.16734710335731506, 'learning_rate': 9.9867839877578e-06, 'epoch': 0.01}
{'loss': 0.0545, 'grad_norm': 0.8485269546508789, 'learning_rate': 9.986436197961952e-06, 'epoch': 0.01}
{'loss': 0.025, 'grad_norm': 0.1161489188671112, 'learning_rate': 9.986088408166105e-06, 'epoch': 0.01}
{'loss': 0.0089, 'grad_norm': 0.09026917815208435, 'learning_rate': 9.985740618370258e-06, 'epoch': 0.01}
{'loss': 0.0507, 'grad_norm': 2.5725953578948975, 'learning_rate': 9.985392828574411e-06, 'epoch': 0.01}
{'loss': 0.0775, 'grad_norm': 0.11244071274995804, 'learning_rate': 9.985045038778564e-06, 'epoch': 0.01}
{'loss': 0.0304, 'grad_norm': 0.07770483195781708, 'learning_rate': 9.984697248982715e-06, 'epoch': 0.02}
{'loss': 0.0136, 'grad_norm': 0.10754785686731339, 'learning_rate': 9.984349459186868e-06, 'epoch': 0.02}
{'loss': 0.0252, 'grad_norm': 0.06761909276247025, 'learning_rate': 9.984001669391021e-06, 'epoch': 0.02}
{'loss': 0.0046, 'grad_norm': 0.3797423839569092, 'learning_rate': 9.983653879595173e-06, 'epoch': 0.02}
{'loss': 0.0142, 'grad_norm': 0.10088492929935455, 'learning_rate': 9.983306089799326e-06, 'epoch': 0.02}
{'loss': 0.0433, 'grad_norm': 0.043675534427165985, 'learning_rate': 9.982958300003479e-06, 'epoch': 0.02}
{'loss': 0.0194, 'grad_norm': 9.273130416870117, 'learning_rate': 9.982645289187216e-06, 'epoch': 0.02}
{'loss': 0.0383, 'grad_norm': 0.08211396634578705, 'learning_rate': 9.982297499391369e-06, 'epoch': 0.02}
{'loss': 0.0377, 'grad_norm': 0.5732083916664124, 'learning_rate': 9.981949709595522e-06, 'epoch': 0.02}
{'loss': 0.0344, 'grad_norm': 1.1780699491500854, 'learning_rate': 9.981601919799675e-06, 'epoch': 0.02}
{'loss': 0.0019, 'grad_norm': 0.10793133080005646, 'learning_rate': 9.981254130003828e-06, 'epoch': 0.02}
{'loss': 0.048, 'grad_norm': 0.04718666523694992, 'learning_rate': 9.980906340207979e-06, 'epoch': 0.02}
{'loss': 0.02, 'grad_norm': 0.043941207230091095, 'learning_rate': 9.980558550412132e-06, 'epoch': 0.02}
{'loss': 0.0021, 'grad_norm': 0.02949409931898117, 'learning_rate': 9.980210760616285e-06, 'epoch': 0.02}
{'loss': 0.0017, 'grad_norm': 0.06336578726768494, 'learning_rate': 9.979862970820436e-06, 'epoch': 0.02}
{'loss': 0.0487, 'grad_norm': 0.024215253069996834, 'learning_rate': 9.97951518102459e-06, 'epoch': 0.02}
{'loss': 0.0021, 'grad_norm': 0.03940630331635475, 'learning_rate': 9.979167391228742e-06, 'epoch': 0.02}
{'loss': 0.0889, 'grad_norm': 7.099146842956543, 'learning_rate': 9.978819601432895e-06, 'epoch': 0.02}
{'loss': 0.0054, 'grad_norm': 0.3076820969581604, 'learning_rate': 9.978471811637046e-06, 'epoch': 0.02}
{'loss': 0.0022, 'grad_norm': 0.14436887204647064, 'learning_rate': 9.9781240218412e-06, 'epoch': 0.02}
{'loss': 0.0012, 'grad_norm': 0.021323751658201218, 'learning_rate': 9.977776232045352e-06, 'epoch': 0.02}
{'loss': 0.0378, 'grad_norm': 0.021436451002955437, 'learning_rate': 9.977428442249505e-06, 'epoch': 0.02}
{'loss': 0.0024, 'grad_norm': 0.12459482997655869, 'learning_rate': 9.977080652453658e-06, 'epoch': 0.02}
{'loss': 0.001, 'grad_norm': 0.0741131603717804, 'learning_rate': 9.976732862657811e-06, 'epoch': 0.02}
{'loss': 0.0008, 'grad_norm': 0.03150703385472298, 'learning_rate': 9.976385072861963e-06, 'epoch': 0.02}
{'loss': 0.0012, 'grad_norm': 0.021854668855667114, 'learning_rate': 9.976037283066116e-06, 'epoch': 0.02}
{'loss': 0.002, 'grad_norm': 0.011730130761861801, 'learning_rate': 9.975689493270269e-06, 'epoch': 0.02}
{'loss': 0.0246, 'grad_norm': 0.013046429492533207, 'learning_rate': 9.975376482454006e-06, 'epoch': 0.02}
{'loss': 0.0006, 'grad_norm': 0.010841120034456253, 'learning_rate': 9.975028692658159e-06, 'epoch': 0.03}
{'loss': 0.0162, 'grad_norm': 0.010618112981319427, 'learning_rate': 9.97468090286231e-06, 'epoch': 0.03}
{'loss': 0.0129, 'grad_norm': 0.010454000905156136, 'learning_rate': 9.974333113066463e-06, 'epoch': 0.03}
{'loss': 0.0022, 'grad_norm': 0.01126097235828638, 'learning_rate': 9.973985323270616e-06, 'epoch': 0.03}
{'loss': 0.0006, 'grad_norm': 0.020519187673926353, 'learning_rate': 9.973637533474769e-06, 'epoch': 0.03}
{'loss': 0.0008, 'grad_norm': 0.009179674088954926, 'learning_rate': 9.973289743678922e-06, 'epoch': 0.03}
{'loss': 0.0323, 'grad_norm': 0.05605481564998627, 'learning_rate': 9.972941953883073e-06, 'epoch': 0.03}
{'loss': 0.0526, 'grad_norm': 1.1457176208496094, 'learning_rate': 9.972594164087226e-06, 'epoch': 0.03}
{'loss': 0.0013, 'grad_norm': 0.026061005890369415, 'learning_rate': 9.97224637429138e-06, 'epoch': 0.03}
{'loss': 0.0477, 'grad_norm': 0.027618195861577988, 'learning_rate': 9.971898584495532e-06, 'epoch': 0.03}
{'loss': 0.0019, 'grad_norm': 0.056955840438604355, 'learning_rate': 9.971550794699685e-06, 'epoch': 0.03}
{'loss': 0.0414, 'grad_norm': 0.07294552773237228, 'learning_rate': 9.971203004903836e-06, 'epoch': 0.03}
{'loss': 0.043, 'grad_norm': 0.06259242445230484, 'learning_rate': 9.970889994087575e-06, 'epoch': 0.03}
{'loss': 0.045, 'grad_norm': 0.034019771963357925, 'learning_rate': 9.970542204291726e-06, 'epoch': 0.03}
{'loss': 0.0795, 'grad_norm': 0.08569426089525223, 'learning_rate': 9.97019441449588e-06, 'epoch': 0.03}
{'loss': 0.0036, 'grad_norm': 0.12562043964862823, 'learning_rate': 9.969846624700032e-06, 'epoch': 0.03}
{'loss': 0.0029, 'grad_norm': 0.074252188205719, 'learning_rate': 9.969498834904184e-06, 'epoch': 0.03}
{'loss': 0.0402, 'grad_norm': 0.06920475512742996, 'learning_rate': 9.969151045108337e-06, 'epoch': 0.03}
{'loss': 0.0019, 'grad_norm': 0.051469586789608, 'learning_rate': 9.96880325531249e-06, 'epoch': 0.03}
{'loss': 0.0014, 'grad_norm': 0.037035245448350906, 'learning_rate': 9.968455465516643e-06, 'epoch': 0.03}
{'loss': 0.001, 'grad_norm': 0.021555986255407333, 'learning_rate': 9.968107675720796e-06, 'epoch': 0.03}
{'loss': 0.0008, 'grad_norm': 0.02553415484726429, 'learning_rate': 9.967759885924949e-06, 'epoch': 0.03}
{'loss': 0.0847, 'grad_norm': 0.05986472964286804, 'learning_rate': 9.9674120961291e-06, 'epoch': 0.03}
{'loss': 0.0321, 'grad_norm': 0.06442669779062271, 'learning_rate': 9.967064306333253e-06, 'epoch': 0.03}
{'loss': 0.0095, 'grad_norm': 0.02168695442378521, 'learning_rate': 9.966716516537406e-06, 'epoch': 0.03}
{'loss': 0.0007, 'grad_norm': 0.015693996101617813, 'learning_rate': 9.966368726741559e-06, 'epoch': 0.03}
{'loss': 0.1183, 'grad_norm': 5.828168869018555, 'learning_rate': 9.96602093694571e-06, 'epoch': 0.03}
{'loss': 0.0029, 'grad_norm': 0.1821494847536087, 'learning_rate': 9.965673147149863e-06, 'epoch': 0.03}
{'loss': 0.0462, 'grad_norm': 0.04418710991740227, 'learning_rate': 9.965325357354016e-06, 'epoch': 0.03}
{'loss': 0.0193, 'grad_norm': 0.0424930639564991, 'learning_rate': 9.964977567558168e-06, 'epoch': 0.04}
{'loss': 0.0031, 'grad_norm': 0.03268654644489288, 'learning_rate': 9.96462977776232e-06, 'epoch': 0.04}
{'loss': 0.0077, 'grad_norm': 0.02145690657198429, 'learning_rate': 9.964281987966474e-06, 'epoch': 0.04}
{'loss': 0.038, 'grad_norm': 0.022355014458298683, 'learning_rate': 9.963934198170627e-06, 'epoch': 0.04}
{'loss': 0.0009, 'grad_norm': 0.032488420605659485, 'learning_rate': 9.96358640837478e-06, 'epoch': 0.04}
{'loss': 0.0008, 'grad_norm': 0.021546917036175728, 'learning_rate': 9.963238618578932e-06, 'epoch': 0.04}
{'loss': 0.0361, 'grad_norm': 0.020660582929849625, 'learning_rate': 9.962890828783084e-06, 'epoch': 0.04}
{'loss': 0.0006, 'grad_norm': 0.009252103045582771, 'learning_rate': 9.962543038987237e-06, 'epoch': 0.04}
{'loss': 0.0005, 'grad_norm': 0.008687568828463554, 'learning_rate': 9.96219524919139e-06, 'epoch': 0.04}
{'loss': 0.0005, 'grad_norm': 0.061495590955019, 'learning_rate': 9.961847459395541e-06, 'epoch': 0.04}
{'loss': 0.0008, 'grad_norm': 0.02784114144742489, 'learning_rate': 9.961499669599694e-06, 'epoch': 0.04}
{'loss': 0.0004, 'grad_norm': 0.020325828343629837, 'learning_rate': 9.961151879803847e-06, 'epoch': 0.04}
{'loss': 0.04, 'grad_norm': 0.009099263697862625, 'learning_rate': 9.960804090008e-06, 'epoch': 0.04}
{'loss': 0.0004, 'grad_norm': 0.007190605625510216, 'learning_rate': 9.960456300212153e-06, 'epoch': 0.04}
{'loss': 0.0479, 'grad_norm': 0.12454421073198318, 'learning_rate': 9.960108510416306e-06, 'epoch': 0.04}
{'loss': 0.0005, 'grad_norm': 0.01393826398998499, 'learning_rate': 9.959760720620459e-06, 'epoch': 0.04}
{'loss': 0.0012, 'grad_norm': 0.03113402985036373, 'learning_rate': 9.95941293082461e-06, 'epoch': 0.04}
{'loss': 0.0003, 'grad_norm': 0.006241392809897661, 'learning_rate': 9.959065141028763e-06, 'epoch': 0.04}
{'loss': 0.0004, 'grad_norm': 0.006770465523004532, 'learning_rate': 9.958717351232916e-06, 'epoch': 0.04}
{'loss': 0.0004, 'grad_norm': 0.006106973625719547, 'learning_rate': 9.958369561437068e-06, 'epoch': 0.04}
{'loss': 0.0003, 'grad_norm': 0.006809215061366558, 'learning_rate': 9.95802177164122e-06, 'epoch': 0.04}
{'loss': 0.0003, 'grad_norm': 0.02157294936478138, 'learning_rate': 9.957673981845374e-06, 'epoch': 0.04}
{'loss': 0.0003, 'grad_norm': 0.0051154266111552715, 'learning_rate': 9.957326192049525e-06, 'epoch': 0.04}
{'loss': 0.0003, 'grad_norm': 0.02257702685892582, 'learning_rate': 9.956978402253678e-06, 'epoch': 0.04}
{'loss': 0.0237, 'grad_norm': 0.009339407086372375, 'learning_rate': 9.95663061245783e-06, 'epoch': 0.04}
{'loss': 0.0406, 'grad_norm': 0.0059195030480623245, 'learning_rate': 9.956282822661984e-06, 'epoch': 0.04}
{'loss': 0.0007, 'grad_norm': 0.013020670041441917, 'learning_rate': 9.955935032866137e-06, 'epoch': 0.04}
{'loss': 0.0005, 'grad_norm': 0.0300656259059906, 'learning_rate': 9.95558724307029e-06, 'epoch': 0.04}
{'loss': 0.0004, 'grad_norm': 0.014171368442475796, 'learning_rate': 9.955239453274441e-06, 'epoch': 0.04}
{'loss': 0.0018, 'grad_norm': 0.019359176978468895, 'learning_rate': 9.954891663478594e-06, 'epoch': 0.05}
{'loss': 0.0158, 'grad_norm': inf, 'learning_rate': 9.954578652662333e-06, 'epoch': 0.05}
{'loss': 0.0338, 'grad_norm': 0.006640590261667967, 'learning_rate': 9.954230862866484e-06, 'epoch': 0.05}
{'loss': 0.0002, 'grad_norm': 0.005593182053416967, 'learning_rate': 9.953883073070637e-06, 'epoch': 0.05}
{'loss': 0.0003, 'grad_norm': 0.006338248960673809, 'learning_rate': 9.95353528327479e-06, 'epoch': 0.05}
{'loss': 0.0003, 'grad_norm': 0.004971299320459366, 'learning_rate': 9.953187493478941e-06, 'epoch': 0.05}
{'loss': 0.0475, 'grad_norm': 0.005676934961229563, 'learning_rate': 9.952839703683094e-06, 'epoch': 0.05}
{'loss': 0.0008, 'grad_norm': 0.06490252166986465, 'learning_rate': 9.952491913887247e-06, 'epoch': 0.05}
{'loss': 0.0288, 'grad_norm': 0.009263827465474606, 'learning_rate': 9.9521441240914e-06, 'epoch': 0.05}
{'loss': 0.0473, 'grad_norm': 0.017764540389180183, 'learning_rate': 9.951796334295553e-06, 'epoch': 0.05}
{'loss': 0.0016, 'grad_norm': 0.056219734251499176, 'learning_rate': 9.951448544499706e-06, 'epoch': 0.05}
{'loss': 0.0263, 'grad_norm': 0.098725326359272, 'learning_rate': 9.951100754703858e-06, 'epoch': 0.05}
{'loss': 0.0012, 'grad_norm': 0.038720209151506424, 'learning_rate': 9.95075296490801e-06, 'epoch': 0.05}
{'loss': 0.0088, 'grad_norm': 0.08733971416950226, 'learning_rate': 9.950405175112164e-06, 'epoch': 0.05}
{'loss': 0.0006, 'grad_norm': 0.020504871383309364, 'learning_rate': 9.950057385316315e-06, 'epoch': 0.05}
{'loss': 0.0006, 'grad_norm': 0.005713202990591526, 'learning_rate': 9.949709595520468e-06, 'epoch': 0.05}
{'loss': 0.0004, 'grad_norm': 0.005313111003488302, 'learning_rate': 9.94936180572462e-06, 'epoch': 0.05}
{'loss': 0.0004, 'grad_norm': 0.013783467933535576, 'learning_rate': 9.949014015928772e-06, 'epoch': 0.05}
{'loss': 0.0003, 'grad_norm': 0.007164242677390575, 'learning_rate': 9.948666226132925e-06, 'epoch': 0.05}
{'loss': 0.0003, 'grad_norm': 0.004220887552946806, 'learning_rate': 9.948318436337078e-06, 'epoch': 0.05}
{'loss': 0.0003, 'grad_norm': 0.003962727729231119, 'learning_rate': 9.947970646541231e-06, 'epoch': 0.05}
{'loss': 0.0007, 'grad_norm': 0.003968738950788975, 'learning_rate': 9.947622856745384e-06, 'epoch': 0.05}
{'loss': 0.0027, 'grad_norm': 0.005202803295105696, 'learning_rate': 9.947275066949537e-06, 'epoch': 0.05}
{'loss': 0.0005, 'grad_norm': 0.004164744168519974, 'learning_rate': 9.94692727715369e-06, 'epoch': 0.05}
{'loss': 0.0002, 'grad_norm': 0.012415976263582706, 'learning_rate': 9.946579487357841e-06, 'epoch': 0.05}
{'loss': 0.0304, 'grad_norm': 0.006283511407673359, 'learning_rate': 9.946231697561994e-06, 'epoch': 0.05}
{'loss': 0.0513, 'grad_norm': 0.004113849252462387, 'learning_rate': 9.945883907766147e-06, 'epoch': 0.05}
{'loss': 0.0004, 'grad_norm': 0.010356037877500057, 'learning_rate': 9.945536117970299e-06, 'epoch': 0.05}
{'loss': 0.0004, 'grad_norm': 0.018356110900640488, 'learning_rate': 9.945188328174452e-06, 'epoch': 0.05}
{'loss': 0.0003, 'grad_norm': 0.008834436535835266, 'learning_rate': 9.944840538378605e-06, 'epoch': 0.06}
{'loss': 0.0002, 'grad_norm': 0.004770040046423674, 'learning_rate': 9.944492748582758e-06, 'epoch': 0.06}
{'loss': 0.0002, 'grad_norm': 0.0034454255364835262, 'learning_rate': 9.94414495878691e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.0032069834414869547, 'learning_rate': 9.943797168991064e-06, 'epoch': 0.06}
{'loss': 0.0002, 'grad_norm': 0.015260390006005764, 'learning_rate': 9.943449379195215e-06, 'epoch': 0.06}
{'loss': 0.0002, 'grad_norm': 0.0029498508665710688, 'learning_rate': 9.943101589399368e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.0031334003433585167, 'learning_rate': 9.942753799603521e-06, 'epoch': 0.06}
{'loss': 0.0002, 'grad_norm': 0.0027640582993626595, 'learning_rate': 9.942406009807674e-06, 'epoch': 0.06}
{'loss': 0.0002, 'grad_norm': 0.004194007720798254, 'learning_rate': 9.942058220011825e-06, 'epoch': 0.06}
{'loss': 0.0002, 'grad_norm': 0.002742467913776636, 'learning_rate': 9.941710430215978e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.0028953859582543373, 'learning_rate': 9.941362640420131e-06, 'epoch': 0.06}
{'loss': 0.0003, 'grad_norm': 0.005288147833198309, 'learning_rate': 9.941014850624282e-06, 'epoch': 0.06}
{'loss': 0.0002, 'grad_norm': 0.00287145865149796, 'learning_rate': 9.940667060828435e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.0026815261226147413, 'learning_rate': 9.940319271032588e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.002496301429346204, 'learning_rate': 9.939971481236741e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.0023386955726891756, 'learning_rate': 9.939623691440894e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.0025567892007529736, 'learning_rate': 9.939275901645047e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.002105084015056491, 'learning_rate': 9.938928111849199e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.007874801754951477, 'learning_rate': 9.938580322053352e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.002161795273423195, 'learning_rate': 9.938232532257505e-06, 'epoch': 0.06}
{'loss': 0.0002, 'grad_norm': 0.0066326214000582695, 'learning_rate': 9.937884742461656e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.002245477167889476, 'learning_rate': 9.937536952665809e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.0019044671207666397, 'learning_rate': 9.937189162869962e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.002279100241139531, 'learning_rate': 9.936841373074115e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.005316013004630804, 'learning_rate': 9.936493583278268e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.002173179294914007, 'learning_rate': 9.936145793482421e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.01077491044998169, 'learning_rate': 9.935798003686574e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.0019450733670964837, 'learning_rate': 9.935450213890725e-06, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.002977206138893962, 'learning_rate': 9.935102424094878e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0023205867037177086, 'learning_rate': 9.934754634299031e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0047147623263299465, 'learning_rate': 9.934406844503182e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0026697791181504726, 'learning_rate': 9.934059054707335e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.003082354087382555, 'learning_rate': 9.933711264911488e-06, 'epoch': 0.07}
{'loss': 0.0002, 'grad_norm': 0.004180599469691515, 'learning_rate': 9.93336347511564e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0022563461679965258, 'learning_rate': 9.933015685319793e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0037546560633927584, 'learning_rate': 9.932667895523946e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.003091926919296384, 'learning_rate': 9.932320105728099e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0017791419522836804, 'learning_rate': 9.931972315932252e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.005474537145346403, 'learning_rate': 9.931624526136405e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0024475452955812216, 'learning_rate': 9.931276736340558e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0017637787386775017, 'learning_rate': 9.930928946544709e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0027871918864548206, 'learning_rate': 9.930581156748862e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.001687870011664927, 'learning_rate': 9.930233366953015e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0018264633836224675, 'learning_rate': 9.929885577157166e-06, 'epoch': 0.07}
{'loss': 0.0002, 'grad_norm': 0.0018383510177955031, 'learning_rate': 9.92953778736132e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0017440782394260168, 'learning_rate': 9.929189997565472e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.004317589569836855, 'learning_rate': 9.928842207769625e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.002260838868096471, 'learning_rate': 9.928494417973778e-06, 'epoch': 0.07}
{'loss': 0.0461, 'grad_norm': 0.001961770001798868, 'learning_rate': 9.928146628177931e-06, 'epoch': 0.07}
{'loss': 0.0002, 'grad_norm': 0.0019610170274972916, 'learning_rate': 9.927798838382082e-06, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.001955729443579912, 'learning_rate': 9.927451048586235e-06, 'epoch': 0.07}
{'loss': 0.0551, 'grad_norm': 0.003807645756751299, 'learning_rate': 9.927103258790388e-06, 'epoch': 0.07}
{'loss': 0.0004, 'grad_norm': 1.6348576545715332, 'learning_rate': 9.92675546899454e-06, 'epoch': 0.07}
{'loss': 0.0003, 'grad_norm': 0.027794739231467247, 'learning_rate': 9.926407679198693e-06, 'epoch': 0.07}
{'loss': 0.0296, 'grad_norm': 0.12057909369468689, 'learning_rate': 9.926059889402846e-06, 'epoch': 0.07}
{'loss': 0.0003, 'grad_norm': 0.0019257699605077505, 'learning_rate': 9.925712099606999e-06, 'epoch': 0.07}
{'loss': 0.0003, 'grad_norm': 0.0018685630057007074, 'learning_rate': 9.92536430981115e-06, 'epoch': 0.07}
{'loss': 0.0003, 'grad_norm': 0.0017877232749015093, 'learning_rate': 9.925016520015303e-06, 'epoch': 0.08}
{'loss': 0.0005, 'grad_norm': 0.0037934435531497, 'learning_rate': 9.924668730219456e-06, 'epoch': 0.08}
{'loss': 0.0004, 'grad_norm': 0.01458703726530075, 'learning_rate': 9.924320940423609e-06, 'epoch': 0.08}
{'loss': 0.0005, 'grad_norm': 0.0016990299336612225, 'learning_rate': 9.923973150627762e-06, 'epoch': 0.08}
{'loss': 0.0002, 'grad_norm': 0.001753833144903183, 'learning_rate': 9.923625360831915e-06, 'epoch': 0.08}
{'loss': 0.0008, 'grad_norm': 6.347414970397949, 'learning_rate': 9.923277571036066e-06, 'epoch': 0.08}
{'loss': 0.0002, 'grad_norm': 0.00170944316778332, 'learning_rate': 9.92292978124022e-06, 'epoch': 0.08}
{'loss': 0.0002, 'grad_norm': 0.013597218319773674, 'learning_rate': 9.922581991444372e-06, 'epoch': 0.08}
{'loss': 0.0001, 'grad_norm': 0.003173606237396598, 'learning_rate': 9.922234201648523e-06, 'epoch': 0.08}
